Averages

"Player","G","MPG","PPG","FGMPG","FGAPG","FG%","2PMPG","2PAPG","2P%","3PMPG","3PAPG","3P%","TSAPG","TS%","FTAPG","FTMPG","ORPG","DRPG","RPG","APG","STPG","TOPG","A/TO","BLKPG","PFPG","FOPG","EFF","eFG%","Off Rat"
"Aneesha Cleetus","7","31.7","13.3","5","13.3","37.6","4.1","9.1","45.3","0.9","4.1","20.7","15.3","43.6","4.4","2.4","3.3","5.3","8.6","3.3","1.9","1.4","230","1.6","1.6","3.1","118","40.9","364.7"
"Aswati CP","8","16.6","3","1.4","5.3","26.2","1.3","4.6","27","0.1","0.6","20","5.4","28","0.3","0.1","2.1","1.9","4","0.4","0.4","1.4","27.3","0.4","2.3","0.5","22","27.4","-22.7"
"Siya Deodhar","4","36.3","14.3","5","13","38.5","4.3","10","42.5","0.8","3","25","15","47.6","4.5","3.5","0.8","2.8","3.5","5.3","1.3","6","87.5","0","3","4","37","41.3","242.7"
"Amrita Dey","4","17.1","3.3","1.3","3.5","35.7","1.3","3.5","35.7","0","0","0","4","41.2","1","0.8","0.5","2","2.5","0.8","0.3","1.3","60","0","2","0.5","12","35.7","0"
"Priyanka Dey","3","6.2","0","0","1.7","0","0","1","0","0","0.7","0","1.7","0","0","0","0.7","2.3","3","0","0","0.3","0","0","0.3","0.3","3","0","0"
"Durga Dharmadhikari","4","34.7","12.5","4.8","16.5","28.8","2.3","7.8","29","2.5","8.8","28.6","17","36.9","1","0.5","1.5","5","6.5","3","4.5","3.3","92.3","0.3","2.8","1","45","36.4","67.9"
"Damanpreet Kaur Dhillon","2","5.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0.5","0","0.5","100","0","0","1","2","0","0"
"Nadar Kaur Dhillon","6","25.3","7.2","3.5","7.8","44.7","3.5","7.7","45.7","0","0.2","0","8","44.5","0.5","0.2","2.8","3.2","6","2.2","0.7","1.8","118.2","0.3","0.3","0.8","59","44.7","-424.1"
"Simranjeet Kaur Dhillon","4","4.1","1","0.5","1","50","0.5","0.8","66.7","0","0.3","0","1","50","0","0","0","0.3","0.3","0","0","0.8","0","0.5","0.3","0","2","50","0"
"Dimple Dhobi","3","4.8","0.7","0.3","2.3","14.3","0.3","1.3","25","0","1","0","2.3","14.3","0","0","0","0.7","0.7","0.7","0","0.7","100","0","0.3","0","-2","14.3","0"
"Amrutha EK","7","11","3.3","1.1","3.9","29.6","0.1","0.7","20","1","3.1","31.8","3.9","42.6","0","0","0.3","1.1","1.4","1.3","0.4","1.3","100","0","0.4","0.3","17","42.6","0"
"Susan Florentina S","7","24.2","6","2","5.3","37.8","1.3","3.9","33.3","0.7","1.4","50","6","50.2","1.6","1.3","1.1","4.6","5.7","1.1","0.6","0.7","160","1.1","2","1.6","72","44.6","272.8"
"Chandana G","7","27.5","6","2.1","9.1","23.4","0.6","1.7","33.3","1.6","7.4","21.2","9.4","31.9","0.6","0.1","1.1","2.4","3.6","4","0.9","1.9","215.4","0","1.6","0.6","36","32","0"
"Hemangini Gamit","2","39.8","7.5","3","14.5","20.7","2.5","8","31.3","0.5","6.5","7.7","16","23.4","3.5","1","2.5","6.5","9","4","1","5.5","72.7","0.5","3","2.5","5","22.4","27.3"
"Divyani Gangwal","8","31.7","12.5","5.1","14.5","35.3","4","9.1","43.8","1.1","5.4","20.9","15.4","40.8","1.9","1.1","2.1","3.5","5.6","4.1","1.1","2.3","183.3","0.4","2.5","2.3","91","39.2","-10.9"
"Joma Gejo","6","14.3","2.7","1.3","3.5","38.1","1.3","3.5","38.1","0","0","0","3.8","35.1","0.7","0","1.2","1.8","3","0.2","0.8","0.5","33.3","0","0.5","1","20","38.1","13.8"
"Aahana George","2","36.9","18.5","8","14","57.1","8","14","57.1","0","0","0","17.5","52.8","8","2.5","6.5","7","13.5","1","1","2","50","1.5","3","5","44","57.1","0"
"Paramita Ghosh","4","14.6","3.3","1","4","25","1","3","33.3","0","1","0","4.8","34.9","1.5","1.3","1.3","1.5","2.8","1.5","0","3","50","0.3","1","1.3","6","25","87.9"
"Garima Gosain","7","32","10","3.9","10.1","38","3.4","7.9","43.6","0.4","2.3","18.8","11.4","43.6","3","1.9","3","7.6","10.6","1.1","1.1","2.9","40","1.1","1.3","2.3","96","40.1","-55.7"
"Mona Goswami","2","11.1","5","2","3.5","57.1","1","1.5","66.7","1","2","50","3.5","71.4","0","0","1","3","4","0","1","0.5","0","1","1","0.5","18","71.4","0"
"Priya Goswami","2","24.4","10.5","3","7","42.9","2.5","5","50","0.5","2","25","9","58.5","4.5","4","4","4","8","2.5","1","2","125","0","0.5","3.5","31","46.4","-356.6"
