averages

"Player","G","MPG","PPG","FGMPG","FGAPG","FG%","2PMPG","2PAPG","2P%","3PMPG","3PAPG","3P%","TSAPG","TS%","FTAPG","FTMPG","ORPG","DRPG","RPG","APG","STPG","TOPG","A/TO","BLKPG","PFPG","FOPG","EFF","eFG%","Off Rat"
"Ayush Singh","2","4.6","0","0","2","0","0","1.5","0","0","0.5","0","2","0","0","0","0.5","1","1.5","0.5","0","1","50","0","0.5","0","-2","0","0"
"Dilprit Singh","2","8.4","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","1","2.5","0","0","0","0","0","0.5","5","0","0"
"Gaurav Kumar Singh","1","19","10","4","9","44.4","2","4","50","2","5","40","9","55.6","0","0","0","3","3","2","0","1","200","0","1","0","9","55.6","0"
"Gurwinder Singh","7","26.5","7.7","2.7","6.9","39.6","0.4","1.3","33.3","2.3","5.6","41","6.9","56.3","0","0","0.9","2.6","3.4","2.6","1.1","1.7","150","0","1","0.9","63","56.3","0"
"Harmanpreet Singh","2","10.1","2","1","1.5","66.7","1","1.5","66.7","0","0","0","1.5","66.7","0","0","0","0","0","0.5","0.5","1.5","33.3","0.5","0","0","3","66.7","0"
"Harsh Singh","7","28.8","10","3.6","10.7","33.3","2.1","5.7","37.5","1.4","5","28.6","11.4","43.6","1.7","1.4","1","3","4","3.7","1","1.4","260","0.1","2.4","2.1","70","40","5538"
"Jeethendar Singh","7","24.1","7","3.3","6.1","53.5","2.9","4.9","58.8","0.4","1.3","33.3","6.1","57","0","0","2","2.3","4.3","3.6","0.4","0.4","833.3","0.1","1.6","0.6","85","57","0"
"Joginder Singh","7","37.6","11.9","4","13","30.8","1.7","3.3","52.2","2.3","9.7","23.5","13.9","42.7","2","1.6","1.1","3.7","4.9","6.7","1.9","3.4","195.8","0","1.3","2.6","87","39.6","43.8"
"Lokendra Singh","5","34.7","10.2","4","13.4","29.9","3.6","10","36","0.4","3.4","11.8","15","34","3.6","1.8","2.2","5.8","8","3.6","3","3.6","100","0.2","3","3.4","51","31.3","157"
"Mandeep Singh","7","17.7","6.1","2.1","4.7","45.5","1.1","2.3","50","1","2.4","41.2","5.1","60.3","0.9","0.9","1","1.4","2.4","1.3","0.7","0.7","180","0","1","0.9","51","56.1","-278.7"
"Palpreet Singh","7","32.6","22","8.7","15.9","55","8.4","14.4","58.4","0.3","1.4","20","18.9","58.5","6.7","4.3","3.3","7.6","10.9","2","1.1","3.3","60.9","2","2.7","4.6","176","55.9","1,871.9"
"Sukhdeep Pal Singh","7","9.1","2","0.7","1.7","41.7","0.4","0.9","50","0.3","0.9","33.3","2","49.3","0.7","0.3","1","1.6","2.6","0.3","0.4","0","0","0","1","0.7","27","50","205.4"
"Surya Pratap Singh","8","34","9.1","3.8","7.4","50.8","3.6","6.8","53.7","0.1","0.6","20","8.6","53.1","2.8","1.5","2.9","4.5","7.4","3.3","0.9","2","162.5","0.1","2.4","3","111","51.7","818.7"
"Tejinder Pal Singh","5","10.6","2.6","1.2","2.8","42.9","1.2","2.8","42.9","0","0","0","3","43.7","0.4","0.2","0.4","0.6","1","2","1.2","0.2","1000","0.2","0.6","0.2","25","42.9","0"
"Upjeet Singh","2","5.7","4","2","3","66.7","2","2.5","80","0","0.5","0","3","66.7","0","0","0","0","0","0","0","0.5","0.5","0","0","0","0","6","66.7","0"
"Yadwinder Singh","7","27","6.6","2.4","8.6","28.3","1.6","4.9","32.4","0.9","3.7","23.1","9.1","36.2","1.1","0.9","1","4.6","5.6","2.4","1","1.4","170","0.1","2.6","1.7","55","33.3","104.7"
"B. Soorya","7","16","9","3.9","6.1","62.8","3.6","4.6","78.1","0.3","1.6","18.2","6.7","67.7","1.1","1","1.9","5","6.9","1.9","1.3","1.9","100","0.7","1.6","0.7","108","65.1","22.4"
"Sam Jose Sunny","3","4.1","3","1","2.3","42.9","0","0.7","0","1","1.7","60","2.3","64.3","0","0","0","0","0","0.3","0","1","33.3","0","0","0","3","64.3","0"
"Kuldeep Tamaliya","4","26.4","13.3","5","13","38.5","3.3","6.5","50","1.8","6.5","26.9","13.8","48.5","1.5","1.5","3","4.3","7.3","0.5","1","2.3","22.2","0.3","3.8","2","48","45.2","-68.4"
"Makkala Tharun","2","10","1","0.5","3","16.7","0.5","3","16.7","0","0","0","3","16.7","0","0","0.5","1","1.5","0.5","0","0.5","100","0","0","0","0","16.7","0"
"Subin Thomas","2","4.1","1","0.5","1","50","0.5","0.5","100","0","0.5","0","1","50","0","0","0.5","0.5","1","1","0.5","0","0","0","0","0","6","50","0"
"Brijesh Tiwari","8","17.8","5.5","1.9","6","31.3","0.9","2.4","36.8","1","3.6","27.6","6.5","42.3","1.1","0.8","0.3","2.6","2.9","2.1","1.1","1.9","113.3","0.1","0.9","1.1","43","39.6","80.2"
"Harshwardhan Tomar","8","27.2","10","3.9","9.1","42.5","3.9","8.6","44.9","0","0.5","0","10.5","47.4","3.3","2.3","3","5.4","8.4","1.5","0.4","2.6","57.1","1","2.4","2.9","99","42.5","-1,869.3"
"Pratyanshu Tomar","4","28.9","14.8","6.3","13","48.1","4.8","8","59.4","1.5","5","30","13.5","54.9","1","0.8","4","7.5","11.5","3.5","0.5","1.8","200","1.3","0.8","1.3","91","53.8","-584.3"
"Shubham Tomar","3","7.8","2.3","1","2.7","37.5","0.7","1.3","50","0.3","1.3","25","2.7","43.8","0","0","0","0.7","0.7","0.3","0.7","0.7","50","0","0.7","0.3","5","43.8","0"
"Ashish Trivedi","6","29.1","12.3","4.8","13","37.2","2.7","6.7","40","2.2","6.3","34.2","13.5","45.9","1","0.5","1.3","2.5","3.8","1.7","1.2","1.3","125","0.2","0.3","0.7","55","45.5","-260.1"
"Prince Tyagi","5","11.9","3.6","1.4","5.2","26.9","1","2.8","35.7","0.4","2.4","16.7","5.4","32.9","0.6","0.4","0.8","2.2","3","1.2","0.2","1","120","0.2","1","1.2","16","30.8","-0.3"
"Kush Upadhyay","1","3.4","4","2","3","66.7","2","3","66.7","0","0","0","3","66.7","0","0","0","0","0","0","0","1","0","0","0","0","2","66.7","0"
"Grigo Mathew Varghese","6","27.2","7.7","3","9.7","31","2.8","6.3","44.7","0.2","3.3","5","10.5","36.3","2","1.5","1.3","5.5","6.8","3.5","1.5","2.5","140","0.8","2.2","2.3","64","31.9","-2,104.5"
"Arjun Yadav","3","17.2","5.3","2","7.3","27.3","1.7","3.7","45.5","0.3","3.7","9.1","8","33.7","1.3","1","1.7","3.7","5.3","2.3","1.7","1","233.3","0","1","1","24","29.5","-23.3"
"Gautam Yadav","2","39","15","4.5","12.5","36","4","8","50","0.5","4.5","11.1","16","46.8","8","5.5","3","5.5","8.5","2","2","4.5","44.4","0.5","3.5","5","26","38","97.6"
"Abhishek YP","3","34.7","15.3","6","14","42.9","4.3","8.3","52","1.7","5.7","29.4","15.3","50.5","2.7","1.7","1","7.7","8.7","4.3","0.7","0.7","650","0","3.7","3.3","58","48.8","-108.6"
